ProductID,ProductName,Category,UnitPrice,SatisfactionScore,SupplierName
2055,Clothing-Politics,Home,53.94,4,EcoHome Goods
2056,Office-About,Electronics,524.72,2,GlobalTech Supplies
2057,Clothing-Identify,Home,436.98,6,UrbanStyle Traders
2058,Home-Wear,Home,666.75,6,UrbanStyle Traders
2059,Electronics-Clear,Home,512.05,10,GlobalTech Supplies
2060,Office-Term,Home,408.38,4,EcoHome Goods
2061,Home-Quite,Clothing,199.92,6,GlobalTech Supplies
2062,Office-Receive,Clothing,619.36,2,UrbanStyle Traders
2063,Home-Good,Office,552.46,10,FreshMart Co.
2064,Electronics-Stop,Home,294.04,2,PrimeSource Ltd.
2065,Office-Animal,Home,470.34,10,UrbanStyle Traders
2066,Office-Occur,Clothing,516.06,4,GlobalTech Supplies
2067,Clothing-Remain,Electronics,290.95,8,PrimeSource Ltd.
2068,Home-Read,Electronics,820.24,7,GlobalTech Supplies
2069,Clothing-Garden,Home,232.39,9,GlobalTech Supplies
2070,Clothing-About,Clothing,34.18,8,FreshMart Co.
2071,Clothing-Success,Office,615.16,5,PrimeSource Ltd.
2072,Electronics-Become,Office,420.3,2,PrimeSource Ltd.
2073,Clothing-Executive,Office,499.43,5,FreshMart Co.
2074,Clothing-Strong,Clothing,659.5,8,UrbanStyle Traders
2075,Electronics-Letter,Electronics,780.64,10,GlobalTech Supplies
2076,Clothing-Affect,Clothing,806.07,9,EcoHome Goods
2077,Office-Ball,Electronics,561.83,9,GlobalTech Supplies
2078,Electronics-Film,Office,142.01,1,GlobalTech Supplies
2079,Office-Who,Home,950.54,9,UrbanStyle Traders
2080,Office-Doctor,Office,832.26,7,GlobalTech Supplies
2081,Office-Light,Clothing,746.22,9,FreshMart Co.
2082,Office-Figure,Office,266.6,8,FreshMart Co.
2083,Clothing-Cut,Home,768.16,1,PrimeSource Ltd.
2084,Office-Stuff,Clothing,281.85,8,EcoHome Goods
2085,Electronics-Officer,Home,242.15,8,GlobalTech Supplies
2086,Home-Of,Home,894.1,3,GlobalTech Supplies
2087,Electronics-Rather,Clothing,159.32,1,UrbanStyle Traders
2088,Office-Evening,Clothing,709.35,8,FreshMart Co.
2089,Electronics-Action,Office,413.52,3,EcoHome Goods
2090,Office-Staff,Office,71.64,3,PrimeSource Ltd.
2091,Office-Mrs,Office,905.79,1,FreshMart Co.
2092,Electronics-Add,Office,482.21,5,PrimeSource Ltd.
2093,Home-Real,Home,755.94,10,UrbanStyle Traders
2094,Office-Fight,Clothing,493.35,7,UrbanStyle Traders
2095,Home-Seem,Office,490.79,10,GlobalTech Supplies
2096,Office-Discuss,Home,672.18,9,EcoHome Goods
2097,Office-Recent,Clothing,842.1,7,PrimeSource Ltd.
2098,Clothing-Trouble,Electronics,907.86,9,FreshMart Co.
2099,Electronics-Several,Electronics,646.32,8,UrbanStyle Traders
